dataset,class,k_shot,seed,support_calibration_mode,support_cal_median,support_cal_mad,support_cal_q25,support_cal_q75,support_cal_mean,support_cal_std,support_cal_count
mvtec,hazelnut,4,3,loio_conformal,20.96599578857422,0.7263517379760742,20.55199384689331,21.81324005126953,21.399238109588623,1.628372925016138,4
mvtec,hazelnut,4,4,loio_conformal,19.382474899291992,1.6108283996582031,17.850605964660645,21.58310556411743,20.051236629486084,2.51538751009063,4
mvtec,hazelnut,8,0,loio_conformal,19.16513156890869,1.3005485534667969,18.343998908996582,20.360069751739502,19.49237608909607,2.0539091616857714,8
mvtec,hazelnut,8,1,loio_conformal,20.26923656463623,0.9137372970581055,18.992487907409668,20.955480575561523,19.762386560440063,1.6803905611723282,8
mvtec,hazelnut,8,2,loio_conformal,20.09357738494873,1.6446638107299805,18.660605907440186,21.817020416259766,20.293540000915527,1.6925522312247974,8
mvtec,hazelnut,8,3,loio_conformal,20.82271385192871,1.5015220642089844,19.649377822875977,22.707540035247803,21.312764883041382,2.0883837410798933,8
mvtec,hazelnut,8,4,loio_conformal,19.716402053833008,1.334721565246582,18.397634983062744,21.036375522613525,20.004470348358154,2.2579798787592216,8
mvtec,leather,1,0,patch_split_conformal,8.620759963989258,0.0,8.620759963989258,8.620759963989258,8.620759963989258,0.0,1
mvtec,leather,1,1,patch_split_conformal,8.347733497619629,0.0,8.347733497619629,8.347733497619629,8.347733497619629,0.0,1
mvtec,leather,1,2,patch_split_conformal,10.665010452270508,0.0,10.665010452270508,10.665010452270508,10.665010452270508,0.0,1
mvtec,leather,1,3,patch_split_conformal,6.3007121086120605,0.0,6.3007121086120605,6.3007121086120605,6.3007121086120605,0.0,1
mvtec,leather,1,4,patch_split_conformal,7.910129070281982,0.0,7.910129070281982,7.910129070281982,7.910129070281982,0.0,1
mvtec,leather,2,0,loio_conformal,20.204701900482178,6.602222919464111,16.903590440750122,23.505813360214233,20.204701900482178,6.602222919464111,2
mvtec,leather,2,1,loio_conformal,17.481435775756836,0.31546783447265625,17.323701858520508,17.639169692993164,17.481435775756836,0.31546783447265625,2
mvtec,leather,2,2,loio_conformal,16.3287034034729,3.5042567253112793,14.57657504081726,18.08083176612854,16.3287034034729,3.5042567253112793,2
mvtec,leather,2,3,loio_conformal,16.573229789733887,5.35683536529541,13.894812107086182,19.251647472381592,16.573229789733887,5.35683536529541,2
